comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000529;NA;.005569;.196522;.246734;.247500;7;56
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000523;NA;.006155;.127159;.198650;.199166;7;76
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000535;NA;.005276;.126616;.226118;.226666;6;58
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000648;NA;.005810;.158427;.240951;.241666;7;60
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000801;NA;.006140;.220337;.256506;.257083;7;59
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000469;NA;.006668;.240984;.256465;.257083;7;64
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000441;NA;.006728;.239919;.256012;.256666;7;65
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000629;NA;.005485;.237380;.238021;.238750;7;57
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000434;NA;.006320;.239264;.256566;.257083;6;61
0.02;3;1;0;4;512;510;1;0;5;10000;10000;0;0;27;0;1;0;1;.000531;NA;.006473;.203019;.284583;.285000;7;56
0.02;3;1;0;4;512;510;1;0;5;10000;10000;25;0;27;0;1;0;1;.003488;NA;.007993;1.209608;1.215288;1.218750;7;16
0.02;3;1;0;4;512;510;1;0;5;10000;10000;25;0;27;0;1;0;1;.003637;NA;.007891;1.208353;1.214859;1.218750;7;16
0.02;3;1;0;4;512;510;1;0;5;10000;10000;25;0;27;0;1;0;1;.003585;NA;.007552;1.211019;1.215171;1.218750;7;15
0.02;3;1;0;4;512;510;1;0;5;10000;10000;25;0;27;0;1;0;1;.003455;NA;.007767;1.208986;1.215597;1.219166;7;15
0.02;3;1;0;4;512;510;1;0;5;10000;10000;25;0;27;0;1;0;1;.003752;NA;.007423;1.207522;1.211744;1.215833;7;15
0.02;3;1;0;4;512;510;1;0;5;10000;10000;25;0;27;0;1;0;1;.003399;NA;.007417;1.205944;1.213890;1.217500;7;15
0.02;3;1;0;4;512;510;1;0;5;10000;10000;25;0;27;0;1;0;1;.003284;NA;.007786;1.207464;1.213814;1.217083;7;15
